train_acc, val_acc, target_acc
0.9996, 0.9640, 0.7863
0.9993, 0.9690, 0.7907
0.9994, 0.9760, 0.7736
0.9993, 0.9610, 0.7701
0.9989, 0.9770, 0.7438
0.9973, 0.9680, 0.7307
0.9998, 0.9670, 0.7453
0.9995, 0.9520, 0.7285
1.0000, 0.9720, 0.7749
0.9994, 0.9490, 0.7187
0.9996, 0.9730, 0.7586
0.9995, 0.9680, 0.7588
0.9988, 0.9630, 0.7699
0.9998, 0.9750, 0.7474
0.9992, 0.9740, 0.7712
0.9992, 0.9620, 0.7522
0.9991, 0.9620, 0.7432
0.9985, 0.9700, 0.7614
0.9982, 0.9670, 0.7515
0.9988, 0.9700, 0.7796
